GO Highest Offense Desc,GO Location Zip
BURGLARY OF VEHICLE           ,78744
AUTO THEFT                    ,78744
BURGLARY OF VEHICLE           ,78753
THEFT                         ,78701
AGG ASLT STRANGLE/SUFFOCATE   ,78753
THEFT                         ,78701
BURGLARY OF VEHICLE           ,78704
AGG ASSAULT                   ,78702
BURGLARY OF VEHICLE           ,78701
THEFT                         ,78701
THEFT                         ,78703
BURGLARY OF VEHICLE           ,78727
BURGLARY NON RESIDENCE        ,78745
BURG NON RESIDENCE SHEDS      ,78745
BURGLARY NON RESIDENCE        ,78745
BURGLARY OF VEHICLE           ,78704
THEFT                         ,78704
THEFT OF BICYCLE              ,78704
BURGLARY OF VEHICLE           ,78704
BURGLARY OF VEHICLE           ,78704
BURGLARY OF VEHICLE           ,78746
THEFT OF LICENSE PLATE        ,78753
AUTO THEFT                    ,78753
BURGLARY OF VEHICLE           ,78753
AUTO THEFT                    ,78744
BURGLARY OF RESIDENCE         ,78753
BURG NON RESIDENCE SHEDS      ,78753
BURGLARY OF VEHICLE           ,78739
BURGLARY OF VEHICLE           ,78719
BURGLARY OF VEHICLE           ,78750
AUTO THEFT                    ,78759
BURGLARY NON RESIDENCE        ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY NON RESIDENCE        ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY NON RESIDENCE        ,78753
BURGLARY NON RESIDENCE        ,78753
DEADLY CONDUCT                ,78753
BURGLARY OF RESIDENCE         ,78758
THEFT                         ,78758
THEFT FROM AUTO               ,78753
BURGLARY OF VEHICLE           ,78753
BURGLARY OF RESIDENCE         ,78758
BREACH OF COMPUTER SECURITY   ,78748
THEFT                         ,78748
THEFT OF LICENSE PLATE        ,78748
THEFT FROM BUILDING           ,78748
BREACH OF COMPUTER SECURITY   ,78748
THEFT                         ,78748
THEFT FROM PERSON             ,78748
BURGLARY OF VEHICLE           ,78717
AUTO THEFT                    ,78717
BURGLARY OF RESIDENCE         ,78717
BURGLARY OF VEHICLE           ,78717
AGG ASLT STRANGLE/SUFFOCATE   ,78717
THEFT                         ,78717
AGG ASLT STRANGLE/SUFFOCATE   ,78717
THEFT                         ,78717
AUTO THEFT                    ,78758
BURGLARY OF VEHICLE           ,78748
THEFT                         ,78750
BURGLARY OF RESIDENCE         ,78750
BURGLARY OF VEHICLE           ,78748
BURGLARY OF VEHICLE           ,78758
BURGLARY OF VEHICLE           ,78753
THEFT OF BICYCLE              ,78753
BURGLARY OF VEHICLE           ,78758
BURGLARY OF VEHICLE           ,78758
BURGLARY OF VEHICLE           ,78747
THEFT                         ,78758
THEFT                         ,78758
AUTO THEFT                    ,78758
BURGLARY OF VEHICLE           ,78758
AUTO THEFT                    ,78753
THEFT                         ,78753
BURGLARY OF VEHICLE           ,78750
THEFT BY SHOPLIFTING          ,78759
THEFT BY SHOPLIFTING          ,78759
THEFT BY SHOPLIFTING          ,78759
THEFT BY SHOPLIFTING          ,78759
THEFT BY SHOPLIFTING          ,78759
THEFT BY SHOPLIFTING          ,78759
THEFT                         ,78759
THEFT                         ,78759
THEFT                         ,78759
THEFT                         ,78759
THEFT BY SHOPLIFTING          ,78759
